Image_Index,File_Name,Rule,Initial_Sum(R_out),Final_Sum(R_in),Absolute_Error,RCE_Value,RCE_Percentage(%)
0,n01443537_goldfish.JPEG,z_plus,18.999365,7.741274,11.258091,0.592550912068322,59.2550912068322
0,n01443537_goldfish.JPEG,epsilon,18.999365,108384930.0,108384910.0,5704659.752229651,570465975.2229651
0,n01443537_goldfish.JPEG,alpha_beta,18.999365,-4.931439e+19,4.931439e+19,2.595580952870191e+18,2.595580952870191e+20
0,n01443537_goldfish.JPEG,composite,18.999365,1479.8954,1460.896,76.89183334954834,7689.183334954833
1,n01558993_robin.JPEG,z_plus,19.274197,7.557587,11.71661,0.6078909633606845,60.78909633606845
1,n01558993_robin.JPEG,epsilon,19.274197,-24546618.0,24546638.0,1273549.2159086228,127354921.59086229
1,n01558993_robin.JPEG,alpha_beta,19.274197,2.1453307e+18,2.1453307e+18,1.1130584109155987e+17,1.1130584109155987e+19
1,n01558993_robin.JPEG,composite,19.274197,1981.382,1962.1078,101.79971835837756,10179.971835837756
2,n02123394_Persian_cat.JPEG,z_plus,17.282919,7.6307435,9.652176,0.558480656064261,55.848065606426104
2,n02123394_Persian_cat.JPEG,epsilon,17.282919,-26604764.0,26604782.0,1539368.558409245,153936855.8409245
2,n02123394_Persian_cat.JPEG,alpha_beta,17.282919,1.2766673e+20,1.2766673e+20,7.386873254925051e+18,7.386873254925051e+20
2,n02123394_Persian_cat.JPEG,composite,17.282919,2201.718,2184.435,126.39271568119128,12639.271568119128
3,n03770679_minivan.JPEG,z_plus,14.564981,9.608027,4.956954,0.3403336980180137,34.03336980180137
3,n03770679_minivan.JPEG,epsilon,14.564981,25805128.0,25805114.0,1771723.0926853586,177172309.26853585
3,n03770679_minivan.JPEG,alpha_beta,14.564981,2.8767214e+16,2.8767214e+16,1975094460857260.8,1.9750944608572608e+17
3,n03770679_minivan.JPEG,composite,14.564981,1066.3918,1051.8269,72.21615125786796,7221.615125786796
4,n07930864_cup.JPEG,z_plus,15.6956215,14.539609,1.1560125,0.0736519121414108,7.36519121414108
4,n07930864_cup.JPEG,epsilon,15.6956215,1509656.5,1509640.8,96182.28566607674,9618228.566607675
4,n07930864_cup.JPEG,alpha_beta,15.6956215,-5.4744963e+21,5.4744963e+21,3.487913068023692e+20,3.487913068023692e+22
4,n07930864_cup.JPEG,composite,15.6956215,1019.86884,1004.1732,63.97792010457339,6397.7920104573395
