Image_Index,File_Name,Rule,Initial_Sum(R_out),Final_Sum(R_in),Absolute_Error,RCE_Value,RCE_Percentage(%)
0,n03950228_34570_pitcher.jpg,z_plus,2179.927001953125,5.9911526e+09,5.9911506e+09,2748326.2451584055,274832624.51584053
0,n03950228_34570_pitcher.jpg,epsilon,2179.927001953125,2.1302769e+26,2.1302769e+26,9.772239430275915e+22,9.772239430275915e+24
0,n03950228_34570_pitcher.jpg,alpha_beta,2179.927001953125,2.596638e+13,2.596638e+13,11911582495.855722,1191158249585.5723
0,n03950228_34570_pitcher.jpg,composite,2179.927001953125,65292.84,63112.914,28.951847472839443,2895.1847472839445
1,n02129604_9026_tiger.jpg,z_plus,12371.5556640625,1.2676954e+10,1.2676942e+10,1024684.5399421817,102468453.99421817
1,n02129604_9026_tiger.jpg,epsilon,12371.5556640625,1.3202203e+27,1.3202203e+27,1.0671417363529681e+23,1.067141736352968e+25
1,n02129604_9026_tiger.jpg,alpha_beta,12371.5556640625,3.4160622e+13,3.4160622e+13,2761222848.751082,276122284875.1082
1,n02129604_9026_tiger.jpg,composite,12371.5556640625,65360.477,52988.92,4.283125203802827,428.3125203802827
2,n01662784_2198_turtle.jpg,z_plus,22771.8125,8.819903e+09,8.819881e+09,387315.72025720886,38731572.02572089
2,n01662784_2198_turtle.jpg,epsilon,22771.8125,2.5682e+26,2.5682e+26,1.1277977904163351e+22,1.127797790416335e+24
2,n01662784_2198_turtle.jpg,alpha_beta,22771.8125,4.6316236e+12,4.6316236e+12,203392840.63786298,20339284063.786297
2,n01662784_2198_turtle.jpg,composite,22771.8125,65405.434,42633.62,1.872210264059926,187.2210264059926
3,n04254120_621_soap_dispenser.jpg,z_plus,5923.986328125,6.2438636e+09,6.2438574e+09,1053995.9179776143,105399591.79776144
3,n04254120_621_soap_dispenser.jpg,epsilon,5923.986328125,-1.9161495e+24,1.9161495e+24,3.234560955553112e+20,3.234560955553112e+22
3,n04254120_621_soap_dispenser.jpg,alpha_beta,5923.986328125,2.9712982e+13,2.9712982e+13,5015707425.17352,501570742517.352
3,n04254120_621_soap_dispenser.jpg,composite,5923.986328125,65352.793,59428.805,10.031894301535258,1003.1894301535258
4,n02787622_3030_banjo.jpg,z_plus,7173.92333984375,1.171021e+10,1.1710203e+10,1632328.9677435302,163232896.77435303
4,n02787622_3030_banjo.jpg,epsilon,7173.92333984375,-3.5051768e+25,3.5051768e+25,4.885996945389927e+21,4.8859969453899266e+23
4,n02787622_3030_banjo.jpg,alpha_beta,7173.92333984375,3.378288e+13,3.378288e+13,4709121823.762768,470912182376.2768
4,n02787622_3030_banjo.jpg,composite,7173.92333984375,65402.945,58229.023,8.116761314424657,811.6761314424657
5,n02691156_2138_airplane.jpg,z_plus,17751.119140625,5.826779e+09,5.826761e+09,328247.5414558294,32824754.14558294
5,n02691156_2138_airplane.jpg,epsilon,17751.119140625,-2.495609e+27,2.495609e+27,1.4058882290035492e+23,1.4058882290035493e+25
5,n02691156_2138_airplane.jpg,alpha_beta,17751.119140625,1.3109816e+13,1.3109816e+13,738534629.4654906,73853462946.54906
5,n02691156_2138_airplane.jpg,composite,17751.119140625,65349.68,47598.562,2.681440089659689,268.1440089659689
6,n02484322_3182_monkey.jpg,z_plus,12116.5810546875,6.559616e+09,6.5596037e+09,541374.1452636729,54137414.52636729
6,n02484322_3182_monkey.jpg,epsilon,12116.5810546875,1.6962394e+26,1.6962394e+26,1.399932334964705e+22,1.399932334964705e+24
6,n02484322_3182_monkey.jpg,alpha_beta,12116.5810546875,6.955476e+12,6.955476e+12,574046107.378829,57404610737.882904
6,n02484322_3182_monkey.jpg,composite,12116.5810546875,65395.094,53278.51,4.397157207819274,439.71572078192736
7,n02274259_3025_butterfly.jpg,z_plus,25399.89453125,9.490973e+09,9.490947e+09,373660.88510024024,37366088.510024026
7,n02274259_3025_butterfly.jpg,epsilon,25399.89453125,9.145799e+24,9.145799e+24,3.600723166423462e+20,3.600723166423462e+22
7,n02274259_3025_butterfly.jpg,alpha_beta,25399.89453125,3.407698e+12,3.407698e+12,134161893.16027696,13416189316.027697
7,n02274259_3025_butterfly.jpg,composite,25399.89453125,65390.35,39990.457,1.574433979717804,157.4433979717804
8,n04252225_8055_snowplow.jpg,z_plus,3386.270751953125,4.1061468e+09,4.1061435e+09,1212585.6993657274,121258569.93657273
8,n04252225_8055_snowplow.jpg,epsilon,3386.270751953125,-2.1064109e+25,2.1064109e+25,6.220444353764536e+21,6.220444353764536e+23
8,n04252225_8055_snowplow.jpg,alpha_beta,3386.270751953125,4.758738e+12,4.758738e+12,1405303394.0035248,140530339400.35248
8,n04252225_8055_snowplow.jpg,composite,3386.270751953125,65394.97,62008.7,18.311796002421385,1831.1796002421386
9,n02121808_538_domestic_cat.jpg,z_plus,8769.5234375,1.0055457e+10,1.0055448e+10,1146635.5753153039,114663557.53153038
9,n02121808_538_domestic_cat.jpg,epsilon,8769.5234375,1.6294424e+26,1.6294424e+26,1.858074068468723e+22,1.858074068468723e+24
9,n02121808_538_domestic_cat.jpg,alpha_beta,8769.5234375,2.4225551e+13,2.4225551e+13,2762470662.560817,276247066256.08167
9,n02121808_538_domestic_cat.jpg,composite,8769.5234375,65393.42,56623.9,6.456895729973188,645.6895729973188
10,n04026417_1879_purse.jpg,z_plus,618.3781127929688,7.9580846e+09,7.958084e+09,12869284.878217343,1286928487.8217344
10,n04026417_1879_purse.jpg,epsilon,618.3781127929688,-3.0315624e+23,3.0315624e+23,4.9024413347331015e+20,4.9024413347331015e+22
10,n04026417_1879_purse.jpg,alpha_beta,618.3781127929688,8.143666e+13,8.143666e+13,131693950854.27461,13169395085427.46
10,n04026417_1879_purse.jpg,composite,618.3781127929688,65440.68,64822.3,104.82631813789227,10482.631813789227
11,n04254120_4148_soap_dispenser.jpg,z_plus,4158.333984375,1.1696114e+10,1.169611e+10,2812691.239314948,281269123.93149483
11,n04254120_4148_soap_dispenser.jpg,epsilon,4158.333984375,-1.24209e+26,1.24209e+26,2.986989564602697e+22,2.986989564602697e+24
11,n04254120_4148_soap_dispenser.jpg,alpha_beta,4158.333984375,4.5042576e+13,4.5042576e+13,10831880339.40643,1083188033940.643
11,n04254120_4148_soap_dispenser.jpg,composite,4158.333984375,65308.406,61150.07,14.705425428130006,1470.5425428130006
12,n07695742_612_pretzel.jpg,z_plus,2939.53515625,6.425773e+09,6.42577e+09,2185981.6748016872,218598167.48016873
12,n07695742_612_pretzel.jpg,epsilon,2939.53515625,-4.4753796e+24,4.4753796e+24,1.5224786674808838e+21,1.5224786674808838e+23
12,n07695742_612_pretzel.jpg,alpha_beta,2939.53515625,9.030766e+12,9.030766e+12,3072175003.233363,307217500323.3363
