Image_Index,File_Name,Rule,Initial_Sum(R_out),Final_Sum(R_in),Absolute_Error,RCE_Value,RCE_Percentage(%)
0,n03950228_34570_pitcher.jpg,z_plus,10.159328,10.159325,3.8146973e-06,3.7548716e-07,3.7548714e-05
0,n03950228_34570_pitcher.jpg,epsilon,10.159328,9.090707e+16,9.090707e+16,8.948138e+15,8.948138e+17
0,n03950228_34570_pitcher.jpg,alpha_beta,10.159328,10.154259,0.0050697327,0.0004990224,0.04990224
0,n03950228_34570_pitcher.jpg,composite,10.159328,10.15426,0.005068779,0.00049892854,0.049892854
1,n02129604_9026_tiger.jpg,z_plus,10.116836,10.116832,3.8146973e-06,3.7706428e-07,3.7706428e-05
1,n02129604_9026_tiger.jpg,epsilon,10.116836,2.4940772e+16,2.4940772e+16,2.465274e+15,2.465274e+17
1,n02129604_9026_tiger.jpg,alpha_beta,10.116836,10.126127,0.009291649,0.0009184343,0.091843426
1,n02129604_9026_tiger.jpg,composite,10.116836,10.126157,0.009321213,0.00092135655,0.09213565
2,n01662784_2198_turtle.jpg,z_plus,8.011358,8.011354,3.8146973e-06,4.7616112e-07,4.761611e-05
2,n01662784_2198_turtle.jpg,epsilon,8.011358,6.6567183e+15,6.6567183e+15,8.309101e+14,8.3091e+16
2,n01662784_2198_turtle.jpg,alpha_beta,8.011358,7.99543,0.015928268,0.0019882107,0.19882107
2,n01662784_2198_turtle.jpg,composite,8.011358,7.995431,0.015927315,0.0019880917,0.19880918
3,n04254120_621_soap_dispenser.jpg,z_plus,11.655939,11.655934,4.7683716e-06,4.0909373e-07,4.0909374e-05
3,n04254120_621_soap_dispenser.jpg,epsilon,11.655939,2.1477104e+17,2.1477104e+17,1.8425889e+16,1.8425888e+18
3,n04254120_621_soap_dispenser.jpg,alpha_beta,11.655939,11.656404,0.0004644394,3.984573e-05,0.003984573
3,n04254120_621_soap_dispenser.jpg,composite,11.655939,11.656406,0.00046730042,4.0091185e-05,0.0040091183
4,n02787622_3030_banjo.jpg,z_plus,10.372594,10.372572,2.193451e-05,2.11466e-06,0.000211466
4,n02787622_3030_banjo.jpg,epsilon,10.372594,-3.1155761e+16,3.1155761e+16,3.0036615e+15,3.0036613e+17
4,n02787622_3030_banjo.jpg,alpha_beta,10.372594,10.344943,0.027650833,0.0026657588,0.26657587
4,n02787622_3030_banjo.jpg,composite,10.372594,10.344937,0.027656555,0.0026663104,0.26663104
5,n02691156_2138_airplane.jpg,z_plus,23.354313,23.354313,0.0,0.0,0.0
5,n02691156_2138_airplane.jpg,epsilon,23.354313,-7.375002e+16,7.375002e+16,3.1578758e+15,3.1578757e+17
5,n02691156_2138_airplane.jpg,alpha_beta,23.354313,23.354204,0.00010871887,4.6551945e-06,0.00046551946
5,n02691156_2138_airplane.jpg,composite,23.354313,23.354216,9.727478e-05,4.1651742e-06,0.00041651743
6,n02484322_3182_monkey.jpg,z_plus,13.126254,13.126254,0.0,0.0,0.0
6,n02484322_3182_monkey.jpg,epsilon,13.126254,1.3166188e+16,1.3166188e+16,1.0030423e+15,1.0030423e+17
6,n02484322_3182_monkey.jpg,alpha_beta,13.126254,13.133491,0.0072364807,0.00055129826,0.055129826
6,n02484322_3182_monkey.jpg,composite,13.126254,13.133503,0.0072488785,0.00055224274,0.055224273
7,n02274259_3025_butterfly.jpg,z_plus,14.901445,14.901438,7.6293945e-06,5.119902e-07,5.1199022e-05
7,n02274259_3025_butterfly.jpg,epsilon,14.901445,3.7191338e+17,3.7191338e+17,2.495821e+16,2.495821e+18
7,n02274259_3025_butterfly.jpg,alpha_beta,14.901445,14.895813,0.0056324005,0.0003779768,0.037797682
7,n02274259_3025_butterfly.jpg,composite,14.901445,14.895828,0.0056171417,0.0003769528,0.03769528
8,n04252225_8055_snowplow.jpg,z_plus,11.5893755,11.589369,6.67572e-06,5.760207e-07,5.760207e-05
8,n04252225_8055_snowplow.jpg,epsilon,11.5893755,-7.675471e+16,7.675471e+16,6.622851e+15,6.6228506e+17
8,n04252225_8055_snowplow.jpg,alpha_beta,11.5893755,11.588025,0.0013504028,0.00011652076,0.011652076
8,n04252225_8055_snowplow.jpg,composite,11.5893755,11.588019,0.0013561249,0.00011701449,0.011701449
9,n02121808_538_domestic_cat.jpg,z_plus,17.178827,17.17882,7.6293945e-06,4.4411615e-07,4.4411616e-05
9,n02121808_538_domestic_cat.jpg,epsilon,17.178827,-6.3639733e+15,6.3639733e+15,3.7045445e+14,3.7045446e+16
9,n02121808_538_domestic_cat.jpg,alpha_beta,17.178827,17.178692,0.00013542175,7.883062e-06,0.0007883062
9,n02121808_538_domestic_cat.jpg,composite,17.178827,17.178694,0.0001335144,7.772032e-06,0.00077720324
10,n04026417_1879_purse.jpg,z_plus,18.901958,18.90195,7.6293945e-06,4.0362985e-07,4.0362986e-05
10,n04026417_1879_purse.jpg,epsilon,18.901958,3.7901197e+16,3.7901197e+16,2.0051466e+15,2.0051465e+17
10,n04026417_1879_purse.jpg,alpha_beta,18.901958,18.998322,0.09636307,0.0050980467,0.50980467
10,n04026417_1879_purse.jpg,composite,18.901958,18.998697,0.096738815,0.0051179253,0.51179254
11,n04254120_4148_soap_dispenser.jpg,z_plus,18.75515,18.755144,5.722046e-06,3.05092e-07,3.0509198e-05
11,n04254120_4148_soap_dispenser.jpg,epsilon,18.75515,-3.7543924e+16,3.7543924e+16,2.0017929e+15,2.0017929e+17
11,n04254120_4148_soap_dispenser.jpg,alpha_beta,18.75515,18.755154,3.8146973e-06,2.0339466e-07,2.0339467e-05
11,n04254120_4148_soap_dispenser.jpg,composite,18.75515,18.755142,7.6293945e-06,4.0678933e-07,4.0678933e-05
12,n07695742_612_pretzel.jpg,z_plus,13.700479,13.700474,4.7683716e-06,3.4804415e-07,3.4804416e-05
12,n07695742_612_pretzel.jpg,epsilon,13.700479,1.5417792e+17,1.5417792e+17,1.1253469e+16,1.1253469e+18
12,n07695742_612_pretzel.jpg,alpha_beta,13.700479,13.702979,0.002500534,0.00018251436,0.018251436
12,n07695742_612_pretzel.jpg,composite,13.700479,13.702981,0.0025024414,0.00018265357,0.018265357
13,n03642806_7780_laptop.jpg,z_plus,16.026274,16.026268,5.722046e-06,3.5704156e-07,3.5704157e-05
13,n03642806_7780_laptop.jpg,epsilon,16.026274,3.8625294e+16,3.8625294e+16,2.410123e+15,2.410123e+17
13,n03642806_7780_laptop.jpg,alpha_beta,16.026274,15.9726305,0.053643227,0.0033472052,0.33472052
13,n03642806_7780_laptop.jpg,composite,16.026274,15.972553,0.053720474,0.0033520253,0.33520252
14,n02076196_1965_seal.jpg,z_plus,9.680565,9.68056,4.7683716e-06,4.9257164e-07,4.9257163e-05
14,n02076196_1965_seal.jpg,epsilon,9.680565,-2.9328923e+16,2.9328923e+16,3.0296707e+15,3.0296706e+17
14,n02076196_1965_seal.jpg,alpha_beta,9.680565,9.661024,0.019540787,0.0020185586,0.20185585
14,n02076196_1965_seal.jpg,composite,9.680565,9.661036,0.019529343,0.0020173762,0.20173763
15,n03793489_3923_computer_mouse.jpg,z_plus,16.634232,16.634224,7.6293945e-06,4.5865627e-07,4.586563e-05
15,n03793489_3923_computer_mouse.jpg,epsilon,16.634232,-1.5796237e+16,1.5796237e+16,9.496223e+14,9.496223e+16
15,n03793489_3923_computer_mouse.jpg,alpha_beta,16.634232,16.61099,0.023241043,0.0013971817,0.13971816
15,n03793489_3923_computer_mouse.jpg,composite,16.634232,16.610987,0.023244858,0.001397411,0.1397411
16,n03188531_17375_diaper.jpg,z_plus,18.672483,18.672476,7.6293945e-06,4.0859024e-07,4.0859024e-05
16,n03188531_17375_diaper.jpg,epsilon,18.672483,7.667307e+15,7.667307e+15,4.106206e+14,4.106206e+16
16,n03188531_17375_diaper.jpg,alpha_beta,18.672483,18.63257,0.039913177,0.00213754,0.213754
16,n03188531_17375_diaper.jpg,composite,18.672483,18.63253,0.03995323,0.002139685,0.2139685
17,n01674464_3490_lizard.jpg,z_plus,15.853294,15.85329,4.7683716e-06,3.0078112e-07,3.0078112e-05
17,n01674464_3490_lizard.jpg,epsilon,15.853294,1.0145132e+17,1.0145132e+17,6.399384e+15,6.3993844e+17
17,n01674464_3490_lizard.jpg,alpha_beta,15.853294,15.839838,0.013456345,0.0008488043,0.084880434
17,n01674464_3490_lizard.jpg,composite,15.853294,15.839831,0.01346302,0.0008492254,0.08492254
18,n01674464_134_lizard.jpg,z_plus,15.08704,15.087037,2.861023e-06,1.8963448e-07,1.8963448e-05
18,n01674464_134_lizard.jpg,epsilon,15.08704,-1.1252127e+15,1.1252127e+15,7.458141e+13,7.458141e+15
18,n01674464_134_lizard.jpg,alpha_beta,15.08704,15.091404,0.0043640137,0.00028925578,0.028925579
18,n01674464_134_lizard.jpg,composite,15.08704,15.091082,0.0040416718,0.0002678903,0.026789032
19,n02118333_12193_fox.jpg,z_plus,18.459927,18.45992,5.722046e-06,3.0997123e-07,3.0997122e-05
19,n02118333_12193_fox.jpg,epsilon,18.459927,3.3350043e+16,3.3350043e+16,1.8066184e+15,1.8066184e+17
19,n02118333_12193_fox.jpg,alpha_beta,18.459927,18.459637,0.000289917,1.5705209e-05,0.0015705209
19,n02118333_12193_fox.jpg,composite,18.459927,18.459633,0.0002937317,1.5911855e-05,0.0015911856
20,n02454379_4660_armadillo.jpg,z_plus,16.05094,16.050934,5.722046e-06,3.564929e-07,3.564929e-05
20,n02454379_4660_armadillo.jpg,epsilon,16.05094,-5.2098297e+15,5.2098297e+15,3.2458098e+14,3.2458099e+16
20,n02454379_4660_armadillo.jpg,alpha_beta,16.05094,16.061201,0.010261536,0.0006393106,0.063931055
20,n02454379_4660_armadillo.jpg,composite,16.05094,16.06115,0.010210037,0.00063610217,0.06361022
21,n02509815_44_red_panda.jpg,z_plus,10.586458,10.586454,3.8146973e-06,3.6033745e-07,3.6033744e-05
21,n02509815_44_red_panda.jpg,epsilon,10.586458,1.72706e+17,1.72706e+17,1.631386e+16,1.631386e+18
21,n02509815_44_red_panda.jpg,alpha_beta,10.586458,10.584618,0.0018405914,0.00017386282,0.017386282
21,n02509815_44_red_panda.jpg,composite,10.586458,10.584606,0.0018520355,0.00017494382,0.017494382
22,n03483316_230_hair_dryer.jpg,z_plus,19.074327,19.074324,3.8146973e-06,1.9999118e-07,1.9999117e-05
22,n03483316_230_hair_dryer.jpg,epsilon,19.074327,2.5572441e+16,2.5572441e+16,1.3406732e+15,1.3406733e+17
22,n03483316_230_hair_dryer.jpg,alpha_beta,19.074327,19.0702,0.0041275024,0.00021639046,0.021639045
22,n03483316_230_hair_dryer.jpg,composite,19.074327,19.070232,0.0040950775,0.00021469053,0.021469053
23,n03814639_2265_neck_brace.jpg,z_plus,8.390158,8.390156,1.9073486e-06,2.2733168e-07,2.2733167e-05
23,n03814639_2265_neck_brace.jpg,epsilon,8.390158,-2.6824125e+17,2.6824125e+17,3.1970944e+16,3.1970945e+18
23,n03814639_2265_neck_brace.jpg,alpha_beta,8.390158,8.392178,0.0020198822,0.00024074425,0.024074426
23,n03814639_2265_neck_brace.jpg,composite,8.390158,8.392177,0.0020189285,0.00024063059,0.024063058
24,n01662784_3789_turtle.jpg,z_plus,23.856136,23.85613,5.722046e-06,2.3985635e-07,2.3985634e-05
24,n01662784_3789_turtle.jpg,epsilon,23.856136,2.938225e+16,2.938225e+16,1.2316432e+15,1.2316432e+17
24,n01662784_3789_turtle.jpg,alpha_beta,23.856136,23.859577,0.003440857,0.00014423362,0.014423362
24,n01662784_3789_turtle.jpg,composite,23.856136,23.859566,0.0034294128,0.0001437539,0.0143753905
25,n03720891_5553_maraca.jpg,z_plus,18.620457,18.62045,7.6293945e-06,4.0973188e-07,4.0973187e-05
25,n03720891_5553_maraca.jpg,epsilon,18.620457,-2.606942e+16,2.606942e+16,1.4000419e+15,1.4000419e+17
25,n03720891_5553_maraca.jpg,alpha_beta,18.620457,18.620071,0.00038528442,2.069146e-05,0.002069146
25,n03720891_5553_maraca.jpg,composite,18.620457,18.620064,0.00039291382,2.1101192e-05,0.0021101192
26,n02419796_445_antelope.jpg,z_plus,18.340343,18.340336,7.6293945e-06,4.1598972e-07,4.159897e-05
26,n02419796_445_antelope.jpg,epsilon,18.340343,1.0119383e+17,1.0119383e+17,5.5175534e+15,5.5175534e+17
26,n02419796_445_antelope.jpg,alpha_beta,18.340343,18.337595,0.0027484894,0.0001498603,0.01498603
26,n02419796_445_antelope.jpg,composite,18.340343,18.337591,0.002752304,0.0001500683,0.01500683
27,n04141076_43723_saxophone.jpg,z_plus,16.767342,16.767336,5.722046e-06,3.4126137e-07,3.4126137e-05
27,n04141076_43723_saxophone.jpg,epsilon,16.767342,-3.2546328e+17,3.2546328e+17,1.9410546e+16,1.9410546e+18
27,n04141076_43723_saxophone.jpg,alpha_beta,16.767342,16.8612,0.09385872,0.00559771,0.559771
27,n04141076_43723_saxophone.jpg,composite,16.767342,16.861265,0.09392357,0.005601578,0.5601578
28,n03991062_19806_flower_pot.jpg,z_plus,14.204584,14.20458,3.8146973e-06,2.6855395e-07,2.6855394e-05
28,n03991062_19806_flower_pot.jpg,epsilon,14.204584,2.908736e+17,2.908736e+17,2.0477446e+16,2.0477446e+18
28,n03991062_19806_flower_pot.jpg,alpha_beta,14.204584,14.204232,0.00035190582,2.4774103e-05,0.0024774102
28,n03991062_19806_flower_pot.jpg,composite,14.204584,14.204228,0.00035572052,2.5042656e-05,0.0025042656
29,n04118538_8452_rugby_ball.jpg,z_plus,18.788288,18.788277,1.1444092e-05,6.0910776e-07,6.0910777e-05
29,n04118538_8452_rugby_ball.jpg,epsilon,18.788288,2.130501e+17,2.130501e+17,1.1339517e+16,1.1339517e+18
29,n04118538_8452_rugby_ball.jpg,alpha_beta,18.788288,18.830406,0.042118073,0.0022417195,0.22417195
29,n04118538_8452_rugby_ball.jpg,composite,18.788288,18.830475,0.042186737,0.0022453743,0.22453743
30,n07768694_1682_pomegranate.jpg,z_plus,14.852787,14.852781,5.722046e-06,3.8525064e-07,3.8525064e-05
30,n07768694_1682_pomegranate.jpg,epsilon,14.852787,5.443682e+15,5.443682e+15,3.6650912e+14,3.665091e+16
30,n07768694_1682_pomegranate.jpg,alpha_beta,14.852787,14.852869,8.201599e-05,5.521926e-06,0.0005521926
30,n07768694_1682_pomegranate.jpg,composite,14.852787,14.852867,8.010864e-05,5.393509e-06,0.0005393509
31,n03141823_6920_crutch.jpg,z_plus,19.075987,19.076004,1.7166138e-05,8.99882e-07,8.99882e-05
31,n03141823_6920_crutch.jpg,epsilon,19.075987,1.3912121e+16,1.3912121e+16,7.293002e+14,7.293002e+16
31,n03141823_6920_crutch.jpg,alpha_beta,19.075987,19.077093,0.0011062622,5.7992398e-05,0.00579924
31,n03141823_6920_crutch.jpg,composite,19.075987,19.07711,0.0011234283,5.8892278e-05,0.0058892276
32,n02484322_11526_monkey.jpg,z_plus,17.056353,17.056347,5.722046e-06,3.3547886e-07,3.3547887e-05
32,n02484322_11526_monkey.jpg,epsilon,17.056353,2.9877476e+16,2.9877476e+16,1.751692e+15,1.751692e+17
32,n02484322_11526_monkey.jpg,alpha_beta,17.056353,17.06226,0.0059070587,0.000346326,0.0346326
32,n02484322_11526_monkey.jpg,composite,17.056353,17.062262,0.005908966,0.00034643785,0.034643784
33,n03255030_9287_dumbbell.jpg,z_plus,16.171751,16.171745,5.722046e-06,3.538297e-07,3.538297e-05
33,n03255030_9287_dumbbell.jpg,epsilon,16.171751,-8.672563e+16,8.672563e+16,5.3627853e+15,5.362785e+17
33,n03255030_9287_dumbbell.jpg,alpha_beta,16.171751,16.191395,0.019643784,0.0012146974,0.121469736
33,n03255030_9287_dumbbell.jpg,composite,16.171751,16.191452,0.019701004,0.0012182357,0.12182357
34,n03793489_1770_computer_mouse.jpg,z_plus,10.960626,10.960614,1.1444092e-05,1.0441094e-06,0.00010441094
34,n03793489_1770_computer_mouse.jpg,epsilon,10.960626,-3.5194817e+16,3.5194817e+16,3.2110228e+15,3.2110227e+17
34,n03793489_1770_computer_mouse.jpg,alpha_beta,10.960626,10.959144,0.0014820099,0.00013521216,0.013521216
34,n03793489_1770_computer_mouse.jpg,composite,10.960626,10.959148,0.0014772415,0.00013477712,0.013477712
35,n02787622_7389_banjo.jpg,z_plus,13.622311,13.622303,7.6293945e-06,5.600661e-07,5.600661e-05
35,n02787622_7389_banjo.jpg,epsilon,13.622311,9.402749e+15,9.402749e+15,6.902462e+14,6.902462e+16
35,n02787622_7389_banjo.jpg,alpha_beta,13.622311,13.624407,0.0020961761,0.00015387817,0.015387816
