Model,Image_Index,File_Name,Method,Initial_Sum(R_out),Final_Sum(R_in),Absolute_Error,RCE_Value,RCE_Percentage(%),Leakage_Percentage(%),Propagation_Continuity,Inference_Time(s)
DeiT-Tiny,0,n03950228_34570_pitcher.jpg,Conventional LRP (z+),6.868456,-78.65587,85.52432,12.451753917670016,1245.1753917670017,1245.1754570007324,-11.451754570007324,2.875875473022461
DeiT-Tiny,1,n02129604_9026_tiger.jpg,Conventional LRP (z+),4.8073344,3.5657048,1.2416296,0.25827818308403716,25.827818308403717,25.827819108963013,0.7417218089103699,0.08209013938903809
DeiT-Tiny,2,n01662784_2198_turtle.jpg,Conventional LRP (z+),14.194602,19.450441,5.2558393,0.3702702860419044,37.027028604190434,37.02702522277832,1.3702702522277832,0.07550811767578125
DeiT-Tiny,3,n04254120_621_soap_dispenser.jpg,Conventional LRP (z+),16.99028,14.642555,2.347725,0.1381804710397128,13.81804710397128,13.818049430847168,0.8618195056915283,0.07472991943359375
DeiT-Tiny,4,n02787622_3030_banjo.jpg,Conventional LRP (z+),3.5156388,3.0335982,0.48204064,0.13711324373757383,13.711324373757384,13.711327314376831,0.8628867268562317,0.07507991790771484
DeiT-Tiny,5,n02691156_2138_airplane.jpg,Conventional LRP (z+),6.356078,5.982813,0.37326527,0.058725720117797676,5.872572011779767,5.8725714683532715,0.9412742853164673,0.0735626220703125
DeiT-Tiny,6,n02484322_3182_monkey.jpg,Conventional LRP (z+),7.3787794,-1.73443,9.11321,1.2350565337697201,123.50565337697202,123.50564897060394,-0.23505648970603943,0.07570981979370117
DeiT-Tiny,7,n02274259_3025_butterfly.jpg,Conventional LRP (z+),15.199478,157.93535,142.73587,9.390840195223396,939.0840195223395,939.0840530395508,10.390840530395508,0.07660698890686035
DeiT-Tiny,8,n04252225_8055_snowplow.jpg,Conventional LRP (z+),14.331438,3.8262715,10.505167,0.733015553594737,73.3015553594737,73.30155074596405,0.2669844925403595,0.07553791999816895
DeiT-Tiny,9,n02121808_538_domestic_cat.jpg,Conventional LRP (z+),3.7431953,-5.161957,8.905152,2.379024233542836,237.9024233542836,237.90241479873657,-1.3790241479873657,0.07708263397216797
DeiT-Tiny,10,n04026417_1879_purse.jpg,Conventional LRP (z+),27.159372,24.25341,2.905962,0.10699665496578406,10.699665496578406,10.699665546417236,0.8930033445358276,0.07743549346923828
DeiT-Tiny,11,n04254120_4148_soap_dispenser.jpg,Conventional LRP (z+),29.403187,29.121962,0.2812252,0.00956444641151695,0.9564446411516949,0.9564459323883057,0.9904355406761169,0.07711577415466309
DeiT-Tiny,12,n07695742_612_pretzel.jpg,Conventional LRP (z+),32.57431,30.90389,1.6704197,0.051280278152248844,5.128027815224884,5.128026008605957,0.9487197399139404,0.0743401050567627
DeiT-Tiny,13,n03642806_7780_laptop.jpg,Conventional LRP (z+),7.7275176,7.1688833,0.5586343,0.07229155721847087,7.229155721847087,7.2291553020477295,0.9277084469795227,0.07468295097351074
DeiT-Tiny,14,n02076196_1965_seal.jpg,Conventional LRP (z+),9.676327,5.3660164,4.3103104,0.44544902977390843,44.54490297739084,44.54490542411804,0.5545509457588196,0.07601189613342285
DeiT-Tiny,15,n03793489_3923_computer_mouse.jpg,Conventional LRP (z+),6.931122,17.25125,10.3201275,1.4889548538484667,148.89548538484667,148.8954782485962,2.488954782485962,0.07608509063720703
DeiT-Tiny,16,n03188531_17375_diaper.jpg,Conventional LRP (z+),15.826946,14.3157015,1.5112448,0.09548555666279235,9.548555666279235,9.548556804656982,0.9045144319534302,0.0745694637298584
DeiT-Tiny,17,n01674464_3490_lizard.jpg,Conventional LRP (z+),4.9230547,4.2656913,0.6573634,0.1335275464806915,13.352754648069151,13.352751731872559,0.8664724826812744,0.07591938972473145
DeiT-Tiny,18,n01674464_134_lizard.jpg,Conventional LRP (z+),8.985606,10.554342,1.5687361,0.17458322147567204,17.458322147567205,17.458319664001465,1.1745831966400146,0.07558822631835938
DeiT-Tiny,19,n02118333_12193_fox.jpg,Conventional LRP (z+),7.6701417,-6.149911,13.820053,1.8017989295185752,180.1798929518575,180.17988801002502,-0.8017988801002502,0.07579493522644043
