Model,Image_Index,File_Name,Method,Initial_Sum(R_out),Final_Sum(R_in),Absolute_Error,RCE_Value,RCE_Percentage(%),Leakage_Percentage(%),Propagation_Continuity,Inference_Time(s)
DeiT-Tiny,0,n03950228_34570_pitcher.jpg,Conventional LRP (z+),7.2931466,3.912773,3.3803737,0.46350002,46.350002,46.35,0.5364999771118164,0.0
DeiT-Tiny,0,n03950228_34570_pitcher.jpg,TFRP Framework (z+),7.2931466,7.2921,0.0010466576,0.00014351249,0.014351249,0.014351248741149902,0.9998564720153809,0.41938185691833496
DeiT-Tiny,1,n02129604_9026_tiger.jpg,Conventional LRP (z+),5.3234243,2.856017,2.4674072,0.46350002,46.350002,46.35,0.5364999771118164,0.0
DeiT-Tiny,1,n02129604_9026_tiger.jpg,TFRP Framework (z+),5.3234243,5.3236847,0.0002603531,4.890707e-05,0.004890707,-0.004908622708171606,1.0000488758087158,0.3456547260284424
DeiT-Tiny,2,n01662784_2198_turtle.jpg,Conventional LRP (z+),20.564968,11.033105,9.531863,0.46350002,46.350002,46.35,0.5364999771118164,0.0
DeiT-Tiny,2,n01662784_2198_turtle.jpg,TFRP Framework (z+),20.564968,20.564877,9.1552734e-05,4.4518783e-06,0.00044518785,0.0004359131271485239,0.9999955296516418,0.34645962715148926
DeiT-Tiny,3,n04254120_621_soap_dispenser.jpg,Conventional LRP (z+),16.429724,8.814547,7.615177,0.46350002,46.350002,46.35,0.5364999771118164,0.0
DeiT-Tiny,3,n04254120_621_soap_dispenser.jpg,TFRP Framework (z+),16.429724,16.430603,0.0008792877,5.3518106e-05,0.0053518107,-0.005363420583307743,1.0000535249710083,0.34677958488464355
DeiT-Tiny,4,n02787622_3030_banjo.jpg,Conventional LRP (z+),2.861257,1.5350643,1.3261927,0.46350002,46.350002,46.35,0.5364999771118164,0.0
DeiT-Tiny,4,n02787622_3030_banjo.jpg,TFRP Framework (z+),2.861257,2.7099,0.15135717,0.05289884,5.289884,5.289891719818115,0.9471011757850647,0.3430347442626953
DeiT-Tiny,5,n02691156_2138_airplane.jpg,Conventional LRP (z+),7.4004655,3.9703496,3.430116,0.46350002,46.350002,46.35,0.5364999771118164,0.0
DeiT-Tiny,5,n02691156_2138_airplane.jpg,TFRP Framework (z+),7.4004655,8.274746,0.87428045,0.118138574,11.813857,-11.813864707946777,1.1181385517120361,0.35313940048217773
DeiT-Tiny,6,n02484322_3182_monkey.jpg,Conventional LRP (z+),6.9807806,3.7451887,3.235592,0.46350002,46.350002,46.35,0.5364999771118164,0.0
DeiT-Tiny,6,n02484322_3182_monkey.jpg,TFRP Framework (z+),6.9807806,7.0059814,0.025200844,0.0036100324,0.36100325,-0.3609963655471802,1.0036100149154663,0.34799814224243164
DeiT-Tiny,7,n02274259_3025_butterfly.jpg,Conventional LRP (z+),13.275476,7.122293,6.1531835,0.46350002,46.350002,46.35,0.5364999771118164,0.0
DeiT-Tiny,7,n02274259_3025_butterfly.jpg,TFRP Framework (z+),13.275476,13.273193,0.0022830963,0.00017197848,0.017197847,0.017205029726028442,0.999828040599823,0.34836649894714355
DeiT-Tiny,8,n04252225_8055_snowplow.jpg,Conventional LRP (z+),12.821999,6.879002,5.9429965,0.46350002,46.350002,46.35,0.5364999771118164,0.0
DeiT-Tiny,8,n04252225_8055_snowplow.jpg,TFRP Framework (z+),12.821999,12.686862,0.1351366,0.010539434,1.0539434,1.0539287328720093,0.9894605875015259,0.3446080684661865
DeiT-Tiny,9,n02121808_538_domestic_cat.jpg,Conventional LRP (z+),3.0213447,1.6209513,1.4003934,0.46350005,46.350006,46.35,0.5364999771118164,0.0
DeiT-Tiny,9,n02121808_538_domestic_cat.jpg,TFRP Framework (z+),3.0213447,3.3700829,0.3487382,0.11542483,11.542482,-11.542474746704102,1.1154248714447021,0.3444080352783203
DeiT-Tiny,10,n04026417_1879_purse.jpg,Conventional LRP (z+),24.084898,12.921547,11.163351,0.46350002,46.350002,46.35,0.5364999771118164,0.0
DeiT-Tiny,10,n04026417_1879_purse.jpg,TFRP Framework (z+),24.084898,24.031372,0.053525925,0.0022223853,0.22223853,0.22223852574825287,0.9977776408195496,0.3434286117553711
DeiT-Tiny,11,n04254120_4148_soap_dispenser.jpg,Conventional LRP (z+),26.405704,14.16666,12.239044,0.4635,46.35,46.35,0.5364999771118164,0.0
DeiT-Tiny,11,n04254120_4148_soap_dispenser.jpg,TFRP Framework (z+),26.405704,26.475769,0.070064545,0.0026533867,0.26533866,-0.26535314321517944,1.0026533603668213,0.3414134979248047
DeiT-Tiny,12,n07695742_612_pretzel.jpg,Conventional LRP (z+),27.477251,14.741545,12.735706,0.46350002,46.350002,46.35,0.5364999771118164,0.0
DeiT-Tiny,12,n07695742_612_pretzel.jpg,TFRP Framework (z+),27.477251,27.459084,0.018167496,0.00066118315,0.066118315,0.06613218784332275,0.9993388056755066,0.34151554107666016
DeiT-Tiny,13,n03642806_7780_laptop.jpg,Conventional LRP (z+),5.858389,3.1430254,2.7153635,0.46350005,46.350006,46.35,0.5364999771118164,0.0
DeiT-Tiny,13,n03642806_7780_laptop.jpg,TFRP Framework (z+),5.858389,5.85376,0.004629135,0.000790172,0.0790172,0.07900094240903854,0.9992098212242126,0.3322737216949463
DeiT-Tiny,14,n02076196_1965_seal.jpg,Conventional LRP (z+),10.220615,5.48336,4.7372556,0.46350002,46.350002,46.35,0.5364999771118164,0.0
DeiT-Tiny,14,n02076196_1965_seal.jpg,TFRP Framework (z+),10.220615,10.200111,0.020503998,0.0020061412,0.20061412,0.20061412453651428,0.9979938864707947,0.3206009864807129
DeiT-Tiny,15,n03793489_3923_computer_mouse.jpg,Conventional LRP (z+),6.1167703,3.2816472,2.835123,0.4635,46.35,46.35,0.5364999771118164,0.0
DeiT-Tiny,15,n03793489_3923_computer_mouse.jpg,TFRP Framework (z+),6.1167703,4.343384,1.7733865,0.28992203,28.992203,28.992202758789062,0.7100779414176941,0.3254070281982422
DeiT-Tiny,16,n03188531_17375_diaper.jpg,Conventional LRP (z+),14.250502,7.645394,6.605108,0.46350002,46.350002,46.35,0.5364999771118164,0.0
DeiT-Tiny,16,n03188531_17375_diaper.jpg,TFRP Framework (z+),14.250502,14.046852,0.20364952,0.014290691,1.4290692,1.4290757179260254,0.9857093095779419,0.3206653594970703
DeiT-Tiny,17,n01674464_3490_lizard.jpg,Conventional LRP (z+),4.829614,2.5910878,2.2385263,0.46350002,46.350002,46.35,0.5364999771118164,0.0
DeiT-Tiny,17,n01674464_3490_lizard.jpg,TFRP Framework (z+),4.829614,4.625,0.20461416,0.042366564,4.236656,4.236666202545166,0.9576334357261658,0.3197000026702881
DeiT-Tiny,18,n01674464_134_lizard.jpg,Conventional LRP (z+),8.541972,4.582768,3.9592042,0.46350002,46.350002,46.35,0.5364999771118164,0.0
DeiT-Tiny,18,n01674464_134_lizard.jpg,TFRP Framework (z+),8.541972,8.546631,0.004658699,0.00054538914,0.054538913,-0.05452774465084076,1.0005453824996948,0.32381272315979004
DeiT-Tiny,19,n02118333_12193_fox.jpg,Conventional LRP (z+),7.06524,3.790501,3.2747388,0.46350002,46.350002,46.35,0.5364999771118164,0.0
